employee_id,customer_id,gross_earnings,expected_net_pay,processed_net_pay,pf_deduction,esi_deduction,pt_deduction,tds_deduction,variance
E045,C037,116408,103477,103477,9239,0,200,3492,0
E046,C048,115052,100204,100130,8762,0,200,3452,-74
E047,C039,55220,51293,50666,3727,0,200,0,-627
E048,C033,129327,115083,115083,10164,0,200,3880,0
E049,C030,43224,38776,38776,2731,0,200,0,0
E050,C005,82497,72516,66228,6288,0,200,0,-6288
E051,C002,90002,82805,82805,6997,0,200,0,0
E052,C017,64351,57274,57274,4421,0,200,0,0
E053,C015,83419,76627,76627,6592,0,200,0,0
E054,C031,92230,84681,84681,7349,0,200,0,0
E055,C005,130594,116751,107026,9725,0,200,3918,-9725
E056,C031,119751,106494,106494,9464,0,200,3593,0
E057,C025,127928,113675,114545,10215,0,200,3838,870
E058,C014,101922,88428,88428,8011,0,200,3058,0
E059,C006,44201,40530,40488,3471,0,200,0,-42
E060,C030,61833,56553,56553,5080,0,200,0,0
E061,C022,121336,104713,104713,10004,0,200,3640,0
E062,C041,65194,60398,60398,4596,0,200,0,0
E063,C035,129781,115582,115582,10106,0,200,3893,0
E064,C014,36782,33755,33755,2827,0,200,0,0
E065,C012,70511,65059,65059,5252,0,200,0,0
E066,C021,102489,91473,91473,7741,0,200,3075,0
E067,C008,117707,104532,104532,9444,0,200,3531,0
E068,C006,112736,100918,100878,8236,0,200,3382,-40
E069,C048,42487,39886,39851,2401,0,200,0,-35
E070,C010,114341,102183,102183,8528,0,200,3430,0
E071,C023,137500,125713,125713,7462,0,200,4125,0
E072,C034,105418,93663,93663,8392,0,200,3163,0
E073,C041,112502,100366,100366,8561,0,200,3375,0
E074,C034,106818,90141,90141,8532,0,200,3205,0
E075,C021,45477,41825,41825,3452,0,200,0,0
E076,C042,100794,90158,90158,7412,0,200,3024,0
E077,C041,78839,72777,72777,5862,0,200,0,0
E078,C034,41651,38497,38497,2954,0,200,0,0
E079,C002,68441,62815,62815,5426,0,200,0,0
E080,C045,58006,53889,53889,3917,0,200,0,0
E262,C017,51986,48068,48068,3718,0,200,0,0
E082,C031,68028,62684,62684,5144,0,200,0,0
E083,C035,34208,31564,31564,2444,0,200,0,0
E084,C016,91925,85075,85075,6650,0,200,0,0
E085,C042,49149,45692,45692,3257,0,200,0,0
E086,C015,97593,90023,90023,7370,0,200,0,0
E087,C022,93514,81820,81820,7389,0,200,0,0
E088,C043,56717,52440,52440,4077,0,200,0,0
E089,C040,48316,44317,44317,3799,0,200,0,0
E090,C022,54350,50232,50232,3918,0,200,0,0
E091,C047,106413,89715,89715,8554,0,200,3192,0
E092,C026,116601,104090,104090,8813,0,200,3498,0
E093,C023,57264,52470,52470,4594,0,200,0,0
E094,C039,56206,51587,51047,4419,0,200,0,-540
E095,C033,122502,108887,108887,9740,0,200,3675,0
E096,C021,64733,60516,60516,4017,0,200,0,0
E097,C032,133651,118777,118777,10664,0,200,4010,0
E098,C038,108822,96795,96795,8562,0,200,3265,0
E099,C047,78381,71888,71888,6293,0,200,0,0
E100,C037,82117,75676,75676,6241,0,200,0,0
E101,C026,29563,26113,26113,2089,0,200,0,0
E102,C040,79839,73337,73337,6302,0,200,0,0
E103,C050,84175,77434,77434,6541,0,200,0,0
E104,C048,129274,115241,115206,9955,0,200,3878,-35
E105,C044,81103,74355,74355,6548,0,200,0,0
E106,C017,64317,58654,58654,4275,0,200,0,0
E107,C007,121228,107554,107554,9837,0,200,3637,0
E108,C041,88599,81563,81563,6836,0,200,0,0
E109,C014,99575,91891,91891,7484,0,200,0,0
E110,C027,33328,30579,30579,2549,0,200,0,0
E111,C004,53163,48407,48407,3566,0,200,0,0
E112,C049,38960,35597,35597,2475,0,200,0,0
E113,C043,101555,91170,91170,7138,0,200,3047,0
E114,C047,136958,121963,121963,10686,0,200,4109,0
E115,C041,64792,59935,59935,4657,0,200,0,0
E116,C006,84479,77598,77545,6681,0,200,0,-53
E117,C041,67704,61984,61984,5520,0,200,0,0
E118,C023,121289,107961,107961,9489,0,200,3639,0
E119,C022,141257,126171,126171,10648,0,200,4238,0
E120,C048,28051,26023,25996,1828,0,200,0,-27
E121,C041,115795,103748,103748,8373,0,200,3474,0
E122,C050,52618,48940,48940,3478,0,200,0,0
E123,C006,78309,70516,70438,5942,0,200,0,-78
E124,C043,105299,93416,93416,8524,0,200,3159,0
E125,C003,112795,97919,97919,8837,0,200,3384,0
E126,C028,127383,113350,113350,10012,0,200,3821,0
E127,C004,89520,82734,82734,6586,0,200,0,0
E128,C008,43894,41045,41045,2649,0,200,0,0
E129,C043,66886,62403,62403,4283,0,200,0,0
E130,C012,108316,96404,96404,8463,0,200,3249,0
E131,C013,115828,103291,103291,8862,0,200,3475,0
E132,C003,91054,83979,83979,6875,0,200,0,0
E133,C050,52336,48007,48007,4129,0,200,0,0
E134,C041,119015,104080,104080,8738,0,200,3570,0
E135,C037,82947,76648,76648,6099,0,200,0,0
E136,C023,67122,62241,62241,4681,0,200,0,0
E137,C006,67040,61547,61492,5293,0,200,0,-55
E138,C021,80588,74726,74726,5662,0,200,0,0
E139,C023,101313,90613,90613,7461,0,200,3039,0
E140,C004,52457,48764,48764,3493,0,200,0,0
E141,C005,94517,87022,79727,7295,0,200,0,-7295
E142,C037,119268,103158,103158,9651,0,200,3578,0
E143,C014,56078,51491,51491,4387,0,200,0,0
E144,C024,46208,42327,42327,3681,0,200,0,0
E145,C043,71025,65699,65699,5126,0,200,0,0
E146,C024,78751,74044,74044,4507,0,200,0,0
E147,C012,95676,88527,88527,6949,0,200,0,0
E148,C048,75322,69470,69386,5652,0,200,0,-84
E149,C026,46095,42740,42740,3155,0,200,0,0
E150,C003,67437,62682,62682,4555,0,200,0,0
E151,C035,60719,55376,55376,4025,0,200,0,0
E152,C041,79633,72884,72884,6549,0,200,0,0
E153,C014,58135,53776,53776,4159,0,200,0,0
E154,C021,75575,70155,70155,5220,0,200,0,0
E155,C005,103650,92058,83776,8282,0,200,3110,-8282
E156,C039,37298,34484,34395,2614,0,200,0,-89
E157,C005,55392,51009,46826,4183,0,200,0,-4183
E158,C006,74235,68785,68730,5250,0,200,0,-55
E159,C041,88185,79334,79334,6770,0,200,0,0
E160,C043,35184,32679,32679,2305,0,200,0,0
E161,C014,49184,45248,45248,3736,0,200,0,0
E162,C041,97230,89649,89649,7381,0,200,0,0
E163,C043,75963,70030,70030,5733,0,200,0,0
E164,C031,113969,101725,101725,8625,0,200,3419,0
E165,C002,103987,92775,92775,7892,0,200,3120,0
E166,C006,93763,84134,84093,7379,0,200,0,-41
E167,C050,46210,40346,40346,3641,0,200,0,0
E168,C017,133945,113733,113733,10282,0,200,4018,0
E169,C040,66365,61641,61641,4524,0,200,0,0
E170,C004,130395,116299,116299,9984,0,200,3912,0
E171,C031,125533,111777,111777,9790,0,200,3766,0
E172,C007,117743,104445,104445,9566,0,200,3532,0
E173,C045,83247,77171,77171,5876,0,200,0,0
E174,C025,75096,69578,71731,5318,0,200,0,2153
E175,C007,121977,104342,104342,8856,0,200,3659,0
E176,C011,79575,73201,73201,6174,0,200,0,0
E177,C012,123382,110018,110018,9463,0,200,3701,0
E178,C048,34815,32153,32097,2462,0,200,0,-56
E179,C032,69705,64507,64507,4998,0,200,0,0
E180,C046,88775,81805,81805,6770,0,200,0,0
E181,C050,112387,99970,99970,8845,0,200,3372,0
E182,C050,85478,78900,78900,6378,0,200,0,0
E183,C023,44351,41852,41852,2299,0,200,0,0
E184,C041,42483,39266,39266,3017,0,200,0,0
E185,C003,100299,88904,88904,8186,0,200,3009,0
E186,C042,92827,85348,85348,7279,0,200,0,0
E187,C021,31396,27837,27837,2159,0,200,0,0
E188,C024,130961,116673,116673,10159,0,200,3929,0
E189,C002,97299,89451,89451,7648,0,200,0,0
E190,C022,31248,28670,28670,2378,0,200,0,0
E191,C018,103690,91849,91849,8530,0,200,3111,0
E192,C022,35058,32732,32732,2126,0,200,0,0
E193,C037,41743,38286,38286,3257,0,200,0,0
E194,C035,91776,84649,84649,6927,0,200,0,0
E195,C045,79674,73826,73826,5648,0,200,0,0
E196,C016,41254,38191,38191,2863,0,200,0,0
E197,C016,90349,83041,83041,7108,0,200,0,0
E198,C005,67945,63051,58357,4694,0,200,0,-4694
E199,C032,40875,38686,38686,1989,0,200,0,0
E200,C001,53432,50114,50114,3118,0,200,0,0
E201,C025,51184,46901,47611,4083,0,200,0,710
E202,C043,105723,94088,94088,8263,0,200,3172,0
E203,C001,84301,77234,77234,6867,0,200,0,0
E204,C022,116150,103696,103696,8770,0,200,3484,0
E205,C050,53104,48865,48865,4039,0,200,0,0
E206,C041,94297,86875,86875,7222,0,200,0,0
E207,C006,122319,103079,103049,9881,0,200,3670,-30
E208,C006,42560,39682,39605,2678,0,200,0,-77
E209,C034,52250,48050,48050,4000,0,200,0,0
E210,C041,104300,92659,92659,8312,0,200,3129,0
E211,C036,112674,100445,100445,8649,0,200,3380,0
E212,C002,76213,71828,71828,4185,0,200,0,0
E213,C036,95932,83882,83882,7618,0,200,0,0
E214,C008,135762,120711,120711,10778,0,200,4073,0
E215,C049,77309,71468,71468,5641,0,200,0,0
E216,C034,82179,75984,75984,5995,0,200,0,0
E217,C014,112066,99439,99439,9065,0,200,3362,0
E218,C048,37493,34910,34840,2383,0,200,0,-70
E219,C017,123842,110324,110324,9603,0,200,3715,0
E220,C021,42062,37904,37904,3098,0,200,0,0
E221,C022,88256,81422,81422,6634,0,200,0,0
E222,C034,110598,98969,98969,8111,0,200,3318,0
E223,C012,114057,101796,101796,8639,0,200,3422,0
E224,C041,78291,71662,71662,6429,0,200,0,0
E225,C030,122877,106548,106548,9738,0,200,3686,0
E226,C031,32208,28541,28541,2713,0,200,0,0
E227,C032,69732,64631,64631,4901,0,200,0,0
E228,C007,132174,117622,117622,10387,0,200,3965,0
E229,C028,98766,91185,91185,7381,0,200,0,0
E230,C030,75397,69383,69383,5814,0,200,0,0
E231,C031,115835,103286,103286,8874,0,200,3475,0
E178,C033,92141,82691,82691,7239,0,200,0,0
E233,C012,70169,65164,65164,4805,0,200,0,0
E234,C012,97340,90033,90033,7107,0,200,0,0
E235,C032,100094,86795,86795,7901,0,200,3003,0
E236,C035,122013,108319,108319,9834,0,200,3660,0
E237,C017,124425,108230,108230,9596,0,200,3733,0
E238,C021,92251,84406,84406,7645,0,200,0,0
E239,C002,38180,35106,35106,2249,0,200,0,0
E240,C008,53043,47874,47874,3889,0,200,0,0
E241,C006,127776,114092,114062,9651,0,200,3833,-30
E242,C017,74687,68723,68723,5764,0,200,0,0
E243,C025,113402,100605,104845,9195,0,200,3402,4240
E244,C030,81721,75479,75479,6042,0,200,0,0
E245,C002,80842,73871,73871,6771,0,200,0,0
E246,C047,83315,76248,76248,6867,0,200,0,0
E247,C048,43670,40508,40448,2962,0,200,0,-60
E248,C010,82831,75727,75727,6904,0,200,0,0
E249,C025,96238,88753,89589,7285,0,200,0,836
E250,C029,44368,39218,39218,3182,0,200,0,0
E251,C028,50809,44577,44577,3878,0,200,0,0
E252,C003,124392,110887,110887,9573,0,200,3732,0
E253,C023,41430,37368,37368,2483,0,200,0,0
E254,C011,73509,67498,67498,5811,0,200,0,0
E255,C016,133390,119152,119152,10036,0,200,4002,0
E256,C047,94606,83665,83665,6905,0,200,0,0
E257,C005,57483,52149,48131,4018,0,200,0,-4018
E258,C003,137782,120059,120059,10479,0,200,4133,0
E259,C005,133452,118762,108276,10486,0,200,4004,-10486
E260,C034,120179,107232,107232,9142,0,200,3605,0
E261,C007,111379,99180,99180,8658,0,200,3341,0
E262,C044,76748,70970,70970,5578,0,200,0,0
E263,C048,129324,115117,115060,10127,0,200,3880,-57
E264,C036,94055,86519,86519,7336,0,200,0,0
E265,C003,117756,104273,104273,9750,0,200,3533,0
E266,C035,117889,105527,105527,8625,0,200,3537,0
E267,C012,116139,102996,102996,9459,0,200,3484,0
E268,C005,93581,86369,79357,7012,0,200,0,-7012
E269,C017,39550,36739,36739,2611,0,200,0,0
E270,C042,76919,70589,70589,6130,0,200,0,0
E271,C030,49966,45963,45963,3803,0,200,0,0
E272,C046,121812,103832,103832,9081,0,200,3654,0
E273,C029,29059,26938,26938,1921,0,200,0,0
E274,C006,47400,42523,42489,3660,0,200,0,-34
E275,C035,37202,34648,34648,2354,0,200,0,0
E276,C020,148036,135089,135089,8306,0,200,4441,0
E277,C018,109901,98192,98192,8212,0,200,3297,0
E278,C006,100859,90095,90067,7538,0,200,3026,-28
E279,C033,101658,90252,90252,8156,0,200,3050,0
E280,C020,75472,69269,69269,6003,0,200,0,0
E281,C007,89049,82342,82342,6507,0,200,0,0
E282,C019,86389,79746,73303,6443,0,200,0,-6443
E283,C037,80925,74152,74152,6573,0,200,0,0
E284,C006,67029,61466,61393,5363,0,200,0,-73
E285,C034,86366,79326,79326,6840,0,200,0,0
E286,C005,63639,58555,53671,4884,0,200,0,-4884
E287,C005,43385,40565,37945,2620,0,200,0,-2620
E288,C014,35213,32687,32687,2326,0,200,0,0
E289,C020,129672,115197,115197,10385,0,200,3890,0
E290,C022,71645,65676,65676,5769,0,200,0,0
E291,C020,115589,102559,102559,9362,0,200,3468,0
E292,C044,85797,77106,77106,6645,0,200,0,0
E293,C037,100075,89236,89236,7637,0,200,3002,0
E294,C005,100910,89917,82151,7766,0,200,3027,-7766
E295,C001,65569,60159,60159,5210,0,200,0,0
E296,C038,107695,96006,96006,8258,0,200,3231,0
E297,C007,139407,124524,124524,10501,0,200,4182,0
E298,C029,95994,88574,88574,7220,0,200,0,0
E299,C003,61576,56789,56789,4587,0,200,0,0
E300,C010,48438,44465,44465,3773,0,200,0,0
